"","INSTNM","GRAD_DEBT_MDN"
"586","Quinnipiac University","26000"
"587","Sacred Heart University","25561"
"588","University of Saint Joseph","27000"
"589","Gateway Community College","6846"
"590","Southern Connecticut State University","21500"
"591","Stone Academy-West Haven","18845"
"592","Trinity College","23000"
"593","Tunxis Community College","8088"
"594","United States Coast Guard Academy","NULL"
"595","Wesleyan University","15500"
"596","Western Connecticut State University","23763"
"597","Yale University","13142"
"598","Margaret H Rollins School of Nursing at Beebe Medical Center","11000"
"599","Dawn Career Institute LLC","9491"
"600","Delaware Technical Community College-Terry","9000"
"601","Delaware State University","26000"
"602","University of Delaware","24572"
"603","Goldey-Beacom College","19173"
"604","Schilling-Douglas School of Hair Design LLC","9833"
"605","Wesley College","31000"
"606","Wilmington University","20536"
"607","American University","23250"
"608","The Catholic University of America","26000"
"609","University of the District of Columbia","25000"
"610","Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies","NULL"
"611","Gallaudet University","18935"
"612","George Washington University","20500"
"613","Georgetown University","16500"
"614","Howard University","25000"
"615","Strayer University-District of Columbia","40023"
"616","National Conservatory of Dramatic Arts","PrivacySuppressed"
"617","Trinity Washington University","29285"
"618","Wesley Theological Seminary","PrivacySuppressed"
"619","Atlantic Technical College","PrivacySuppressed"
"620","The Baptist College of Florida","18550"
"621","Barry University","28235"
"622","Bethune-Cookman University","31000"
"623","Lynn University","17803"
"624","North Florida Technical College","PrivacySuppressed"
"625","Eastern Florida State College","12000"
"626","Broward College","7250"
"627","Albizu University-Miami","5500"
"628","College of Central Florida","12500"
"629","Johnson University Florida","23250"
"630","University of Central Florida","18635"
"631","Charlotte Technical College","PrivacySuppressed"
"632","Chipola College","PrivacySuppressed"
"633","Lorenzo Walker Technical College","PrivacySuppressed"
"634","Daytona State College","8560"
"635","South University-West Palm Beach","25379"
"636","Eckerd College","26940"
"637","Florida SouthWestern State College","8050"
"638","Edward Waters College","PrivacySuppressed"
"639","Embry-Riddle Aeronautical University-Daytona Beach","24250"
"640","Florida Agricultural and Mechanical University","25000"
"641","Florida Atlantic University","17500"
"642","Florida State College at Jacksonville","14058"
"643","Flagler College","23250"
"644","Florida College","12000"
"645","Concorde Career Institute-Jacksonville","9500"
"646","Concorde Career Institute-Miramar","9500"
"647","Concorde Career Institute-Tampa","9500"
"648","AdventHealth University","25034"
"649","Florida Institute of Technology","27000"
"650","Florida Institute of Ultrasound Inc","PrivacySuppressed"
"651","Florida International University","17418"
"652","The College of the Florida Keys","7750"
"653","Florida Memorial University","31000"
"654","Florida Career College-Miami","9500"
"655","Florida School of Massage","7073"
"656","Florida Southern College","25000"
"657","Florida State University","18750"
"658","Florida Technical College","NULL"
"659","University of Florida","15580"
"660","Fort Pierce Beauty Academy","7667"
"661","Full Sail University","27000"
"662","George Stone Technical College","PrivacySuppressed"
"663","George T Baker Aviation Technical College","PrivacySuppressed"
"664","Gulf Coast State College","6700"
"665","Hillsborough Community College","9584"
"666","Hobe Sound Bible College","PrivacySuppressed"
"667","Hollywood Institute of Beauty Careers","6276"
"668","Cortiva Institute-Florida","7521"
"669","Indian River State College","8176"
"670","International Academy","9500"
"671","AI Miami International University of Art and Design","29453"
"672","Jacksonville University","21438"
"673","Keiser University-Ft Lauderdale","25425"
"674","La Belle Beauty School","8148"
"675","Florida Gateway College","6750"
"676","Lake Technical College","PrivacySuppressed"
"677","Lake-Sumter State College","6750"
"678","Fort Myers Technical College","PrivacySuppressed"
"679","Lively Technical College","PrivacySuppressed"
"680","Lindsey Hopkins Technical College","PrivacySuppressed"
"681","Loraines Academy & Spa","6333"
