"","INSTNM","GRAD_DEBT_MDN"
"3825","TDDS Technical Institute","5066"
"3826","Fortis Institute-Forty Fort","6333"
"3827","Laurel Business Institute","11116"
"3828","Aviation Institute of Maintenance-Philadelphia","32500"
"3829","Dorsey School of Business-Roseville","13000"
"3830","Moler-Pickens Beauty Academy","6333"
"3831","Red River Technology Center","PrivacySuppressed"
"3832","Southern Union State Community College","11000"
"3833","South University-Columbia","25379"
"3834","Clinton Technical School","13744"
"3835","Greene County Career and Technology Center","PrivacySuppressed"
"3836","Lac Courte Oreilles Ojibwe College","PrivacySuppressed"
"3837","Diesel Driving Academy-Shreveport","6333"
"3838","Pima Medical Institute-Mesa","9500"
"3839","Platt College-Los Angeles","18873"
"3840","Platt College-Aurora","41667"
"3841","Paul Mitchell the School-Boise","9500"
"3842","Educators of Beauty College of Cosmetology-Rockford","9833"
"3843","Northwestern College","16917"
"3844","Douglas J Aveda Institute","7759"
"3845","Ross Medical Education Center-Brighton","9500"
"3846","Ross Medical Education Center-Ann Arbor","9500"
"3847","Taylortown School of Beauty Inc","16500"
"3848","Pike-Lincoln Technical Center","PrivacySuppressed"
"3849","West Virginia Junior College-United Career Institute","8848"
"3850","Bethel Seminary-San Diego","22500"
"3851","St Charles Community College","6029"
"3852","Brandman University","23451"
"3853","New College of Florida","15297"
"3854","Montana Bible College","NULL"
"3855","Conservatory of Recording Arts and Sciences","8344"
"3856","Adrian's College of Beauty Turlock","8450"
"3857","California Career School","PrivacySuppressed"
"3858","Dr. Ida Rolf Institute","PrivacySuppressed"
"3859","Sunstate Academy","7667"
"3860","Elizabeth Grady School of Esthetics and Massage Therapy","5191"
"3861","Ross Medical Education Center-Port Huron","9500"
"3862","Capri Institute of Hair Design-Clifton","7463"
"3863","Raphael's School of Beauty Culture Inc-Alliance","6251"
"3864","Metro Technology Centers","9500"
"3865","Hussian College-Daymar College Bowling Green","16666"
"3866","Luna Community College","3346"
"3867","Grabber School of Hair Design","8488"
"3868","Yeshivah Gedolah Rabbinical College","PrivacySuppressed"
"3869","University of the District of Columbia-David A Clarke School of Law","25000"
"3870","Raphael's School of Beauty Culture Inc-Brunswick","7864"
"3871","Caribbean University-Ponce","10750"
"3872","Caribbean University-Vega Baja","10750"
"3873","University of Advancing Technology","27000"
"3874","Paradise Valley Community College","6500"
"3875","Chandler-Gilbert Community College","6315"
"3876","HSHS St. John's Hospital School of Clinical Laboratory Science","20000"
"3877","Great Plains Technology Center","PrivacySuppressed"
"3878","Roane-Jackson Technical Center","PrivacySuppressed"
"3879","Pioneer Technology Center","PrivacySuppressed"
"3880","Portage Lakes Career Center","8444"
"3881","Eastern College of Health Vocations-New Orleans","3845"
"3882","Bell Mar Beauty College","PrivacySuppressed"
"3883","Caddo Kiowa Technology Center","PrivacySuppressed"
"3884","Center for Instruction Technology & Innovation","7220"
"3885","International School of Skin Nailcare & Massage Therapy","6242"
"3886","Palomar Institute of Cosmetology","6333"
"3887","Southern Oklahoma Technology Center","PrivacySuppressed"
"3888","Vista College","15407"
"3889","Autry Technology Center","PrivacySuppressed"
"3890","Greene County Vocational School District","PrivacySuppressed"
"3891","Canadian Valley Technology Center","PrivacySuppressed"
"3892","Wilkes-Barre Area Career and Technical Center Practical Nursing","17678"
"3893","Meridian Technology Center","PrivacySuppressed"
"3894","Waynesville Career Center","9403"
"3895","Capitol School of Hairstyling and Esthetics","6333"
"3896","Morris County Vocational School District","PrivacySuppressed"
"3897","Ross Medical Education Center-Roosevelt Park","9500"
"3898","Ross Medical Education Center-Kentwood","9500"
"3899","South Florida Bible College and Theological Seminary","PrivacySuppressed"
"3900","Cloyd's Barber School 2 Inc","PrivacySuppressed"
"3901","Universal Technical Institute of Illinois Inc","14243"
"3902","Pennsylvania College of Technology","24000"
"3903","Commonwealth Institute of Funeral Service","9500"
"3904","Delta College of Arts & Technology","6625"
"3905","InterCoast Colleges-Santa Ana","10055"
"3906","Stone Child College","PrivacySuppressed"
"3907","New York Academy of Art","PrivacySuppressed"
"3908","Suffolk County Community College","8001"
"3909","Las Positas College","PrivacySuppressed"
"3910","Blades School of Hair Design","11825"
"3911","Ogeechee Technical College","9272"
"3912","Remington College-Mobile Campus","13910"
"3913","Southern Technical College","11667"
"3914","Mercy-St Luke's School of Radiologic Technology","PrivacySuppressed"
"3915","Southwest Acupuncture College-Santa Fe","PrivacySuppressed"
"3916","Northwest Technology Center-Alva","PrivacySuppressed"
"3917","Mercer County Career Center","9855"
"3918","California State University-San Marcos","17134"
"3919","Hairmasters Institute of Cosmetology","8561"
"3920","Tricoci University of Beauty Cuture LLC-Bloomington","7307"
"3921","Interactive College of Technology-Newport","10711"
"3922","Platt College-McCann-Monroe","14000"
"3923","Ross Medical Education Center-Taylor","9500"
"3924","National Tractor Trailer School Inc-Liverpool","6365"
"3925","Interactive College of Technology","4248"
"3926","Butler Beauty Academy-New Castle Beauty Academy","7850"
"3927","NorthWest Arkansas Community College","8750"
"3928","Brewster Technical College","PrivacySuppressed"
"3929","Hodges University","25000"
"3930","University of St. Augustine for Health Sciences","PrivacySuppressed"
"3931","Capital Area School of Practical Nursing","9500"
"3932","Hair Professionals Career College","8489"
"3933","Alexandria School of Scientific Therapeutics","PrivacySuppressed"
"3934","Empire Beauty School-Bloomfield","13000"
"3935","Southwest Technology Center","PrivacySuppressed"
"3936","Western Area Career & Technology Center","16500"
"3937","Hussian College-Daymar College Clarksville","16666"
"3938","Nossi College of Art","31000"
"3939","Seguin Beauty School-New Braunfels","9833"
"3940","Pima Medical Institute-Seattle","9500"
"3941","Mineral County Vocational Technical Center","PrivacySuppressed"
"3942","Hypnosis Motivation Institute","9500"
"3943","Thanh Le College School of Cosmetology","PrivacySuppressed"
"3944","Southeastern Technical College","5951"
"3945","Massachusetts School of Law","PrivacySuppressed"
"3946","Alliance Career Center","9270"
"3947","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","13875"
"3948","Erwin Technical College","PrivacySuppressed"
"3949","Rosel School of Cosmetology","PrivacySuppressed"
"3950","Worsham College of Mortuary Science","14408"
"3951","Bryan University","22402"
"3952","Oregon College of Oriental Medicine","PrivacySuppressed"
"3953","Central Pennsylvania Institute of Science and Technology","7600"
"3954","Northwest Educational Center","PrivacySuppressed"
"3955","Sebring Career Schools-Houston","PrivacySuppressed"
"3956","PCI Health Training Center","8182"
"3957","Hamrick School","5481"
"3958","Alabama State College of Barber Styling","PrivacySuppressed"
"3959","Fortis College","9500"
"3960","Downey Adult School","PrivacySuppressed"
"3961","CRU Institute of Cosmetology and Barbering","9833"
"3962","Modern Technology School","11983"
"3963","National Career Education","8152"
"3964","North-West College-Glendale","9500"
"3965","Fremont College","20000"
"3966","Pomona Unified School District Adult and Career Education","PrivacySuppressed"
"3967","Universal College of Beauty Inc-Los Angeles 2","PrivacySuppressed"
"3968","IBMC College","9722"
"3969","Avalon School of Cosmetology-Aurora","6331"
"3970","Academy of Cosmetology","6333"
"3971","Sunstate Academy","9500"
"3972","Fortis College-Smyrna","12139"
"3973","Ross College-Quad Cities","9500"
"3974","Pivot Point Academy","9833"
"3975","Blalock's Professional Beauty College","PrivacySuppressed"
"3976","Diesel Driving Academy-Baton Rouge","6333"
"3977","New England Hair Academy","PrivacySuppressed"
"3978","Rob Roy Academy-Worcester","9500"
"3979","Upper Cape Cod Regional Technical School","9500"
"3980","All-State Career-Baltimore","8428"
"3981","Adler Graduate School","PrivacySuppressed"
"3982","Academy of Hair Design-Jackson","6500"
"3983","KC's School of Hair Design","9833"
"3984","Lincoln Technical Institute-Moorestown","10846"
"3985","MCVSD","PrivacySuppressed"
"3986","Continental School of Beauty Culture-Olean","PrivacySuppressed"
"3987","National Tractor Trailer School Inc-Buffalo","6365"
"3988","Yeshiva Gedolah Imrei Yosef D'spinka","PrivacySuppressed"
"3989","Knox County Career Center","8621"
"3990","Madison Adult Career Center","6333"
"3991","Remington College-Cleveland Campus","13910"
"3992","Toledo Academy of Beauty Culture-East","PrivacySuppressed"
"3993","U S Grant Joint Vocational School","PrivacySuppressed"
"3994","Chisholm Trail Technology Center","PrivacySuppressed"
"3995","Gordon Cooper Technology Center","PrivacySuppressed"
"3996","Kiamichi Technology Center-McAlester","PrivacySuppressed"
"3997","YTI Career Institute-Altoona","14500"
"3998","Eastern Center for Arts and Technology","10200"
"3999","Empire Beauty School-Center City Philadelphia","11215"
"4000","CEM College-Humacao","5000"
"4001","Colegio Mayor de Tecnologia Inc","PrivacySuppressed"
"4002","Institucion Chaviano de Mayaguez","PrivacySuppressed"
"4003","EDIC College","NULL"
"4004","Liceo de Arte-Dise-O y Comercio","PrivacySuppressed"
"4005","Universal Technology College of Puerto Rico","PrivacySuppressed"
"4006","Academy of Hair Technology","3666"
"4007","Mr Wayne's School of Unisex Hair Design","PrivacySuppressed"
"4008","Queen City College","5759"
"4009","College of the Marshall Islands","PrivacySuppressed"
"4010","Remington College-Fort Worth Campus","13910"
"4011","UCAS University of Cosmetology Arts & Sciences","5983"
"4012","School of Automotive Machinists & Technology","PrivacySuppressed"
"4013","Nuvani Institute","4301"
"4014","Nuvani Institute","5118"
"4015","Texas College of Cosmetology-Abilene","PrivacySuppressed"
"4016","Vista College-Online","17765"
"4017","Centura College-Newport News","14581"
"4018","Centura College-Norfolk","14581"
"4019","Virginia Beach City Public Schools School of Practical Nursing","PrivacySuppressed"
"4020","Northwest College of Art & Design","30875"
"4021","University of Washington-Bothell Campus","15000"
"4022","University of Washington-Tacoma Campus","15000"
"4023","Huntington School of Beauty Culture","PrivacySuppressed"
"4024","Valley College-Beckley","9500"
"4025","Valley College-Martinsburg","9500"
"4026","Bellus Academy-Poway","9154"
"4027","Capstone College","9500"
"4028","Central Coast College","5771"
"4029","Pacific College of Health and Science","12271"
"4030","Artistic Nails and Beauty Academy-Tampa","6333"
"4031","National Aviation Academy of Tampa Bay","22000"
"4032","Madison Oneida BOCES-Practical Nursing Program","8633"
"4033","College of Health Care Professions (The)","NULL"
"4034","Center for Advanced Legal Studies","9500"
"4035","Houston Training School-Main Campus","PrivacySuppressed"
"4036","Bay Mills Community College","PrivacySuppressed"
"4037","Fond du Lac Tribal and Community College","12854"
"4038","Northwest Indian College","PrivacySuppressed"
"4039","Provo College","37000"
"4040","Paul Mitchell the School-Provo","9916"
"4041","University of Phoenix-Utah","32421"
"4042","CET-Coachella","6650"
"4043","CET-Oxnard","6650"
"4044","CET-Santa Maria","6650"
"4045","Colorado School of Traditional Chinese Medicine","PrivacySuppressed"
"4046","Massage Therapy Institute of Colorado","8994"
"4047","Michigan College of Beauty-Troy","6333"
"4048","Ogle School Hair Skin Nails-Dallas","7917"
"4049","Phoenix Seminary","PrivacySuppressed"
